Series.Code	Indicator	Target	Goal
"FB_BNK_ACCSS_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.10.2	8.10	8
"FB_CBK_BRCH_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.10.3	8.10	8
"DC_TOF_TRDCMDL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.a.1	8.a	8
"DC_TOF_TRDCML_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.a.2	8.a	8
"DC_TOF_TRDDBMDL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.a.3	8.a	8
"DC_TOF_TRDDBML_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.a.4	8.a	8
"EN_MAT_FTPRPC_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.2.1	12.2	12
"EN_MAT_FTPRPG_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.2.2	12.2	12
"EN_MAT_FTPRTN_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.2.3	12.2	12
"SG_HAZ_CMRBASEL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.4.1	12.4	12
"SG_HAZ_CMRMNTRL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.4.2	12.4	12
"SG_HAZ_CMRROTDAM_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.4.3	12.4	12
"SG_HAZ_CMRSTHOLM_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	12.4.4	12.4	12
"ER_H2O_FISHFEXP_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.4.1	14.4	14
"ER_H2O_FISHNFEXP_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.4.2	14.4	14
"ER_H2O_FISHOVEXP_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.4.3	14.4	14
"ER_H2O_FWTL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.4.4	14.4	14
"ER_MRN_MARIN_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.5.1	14.5	14
"ER_MRN_MARINT_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.5.2	14.5	14
"ER_MRN_TOTL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	14.5.3	14.5	14
"AG_LND_FRST_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.1.1	15.1	15
"AG_LND_FRSTN_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.1.2	15.1	15
"AG_LND_TOTL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.1.3	15.1	15
"ER_PTD_FRHWTR_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.1.4	15.1	15
"ER_PTD_TERR_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.1.5	15.1	15
"AG_LND_FRSTBIOM_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.1	15.2	15
"AG_LND_FRSTBIOPHA_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.2	15.2	15
"AG_LND_FRSTCERT_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.3	15.2	15
"AG_LND_FRSTCHG_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.4	15.2	15
"AG_LND_FRSTMGT_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.5	15.2	15
"AG_LND_FRSTPRCT_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.6	15.2	15
"AG_LND_FRSTPRCTN_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.2.7	15.2	15
"ER_PTD_MTN_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.4.1	15.4	15
"ER_MTN_GRNCOV_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.4.2	15.4	15
"ER_MTN_GRNCVI_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.4.3	15.4	15
"ER_MTN_TOTL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.4.4	15.4	15
"ER_RSK_LST_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.5.1	15.5	15
"ER_CBD_ABSCLRHS_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.6.1	15.6	15
"ER_CBD_NAGOYA_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.6.2	15.6	15
"ER_CBD_ORSPGRFA_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.6.3	15.6	15	
"ER_CBD_PTYPGRFA_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.6.4	15.6	15
"ER_CBD_SMTA_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.6.5	15.6	15
"DC_ODA_BDVDL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.a.1	15.a	15
"DC_ODA_BDVL_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	15.a.2	15.a	15










